门店名称,大类名称,子类名称,菜品编码,菜品短编码,菜品名称,规格,出品分量(kg),损耗,物料单位,物料号,物料描述,单位
加拿大一店,荤菜,河/海鲜类,9030057,32057,扇贝,整份,,,,4515468,扇贝（3LB*4包/箱）,份
加拿大一店,小吃甜品,主食类,11010262,1002693,白米饭(半）,半份,,,,4522604,寿司米（东北圆米，30KG/包）,
加拿大一店,小吃甜品,主食类,11010262,50303,白米饭,整份,,,,4522604,寿司米（东北圆米，30KG/包）,
加拿大一店,小吃甜品,主食类,11010008,1002695,蛋炒饭(半）,半份,,,,4522604,寿司米（东北圆米，30KG/包）,
加拿大一店,小吃甜品,主食类,11010008,1002694,蛋炒饭,整份,,,,4522604,寿司米（东北圆米，30KG/包）,
加拿大一店,荤菜,牛/羊肉,70001182,78433,Prime级去骨牛小排,整份,,,,4510316,去骨牛仔骨肉（LB）,份
加拿大一店,荤菜,牛/羊肉,9010185,30219,AAA级西冷牛肉,整份,,,,1501275,西冷牛肉（LB）,份
加拿大一店,荤菜,牛/羊肉,9010051,30053,雪花和牛,整份,,,,4500067,美国和牛,份
加拿大一店,荤菜,牛/羊肉,9010009,30009,特选羊肉,整份,,,,1500679,羊肉卷（LB）,份
加拿大一店,荤菜,牛/羊肉,9010298,30355,和牛牛舌,整份,,,,1500686,牛舌（LB）,份
加拿大一店,荤菜,牛/羊肉,9070024,47025,猪颈肉,整份,,,,4516994,猪颈肉（LB）,份
加拿大一店,荤菜,其他荤菜,9060090,43251,港式鱼腐,整份,,,,4525419,鱼腐（LB）,份
加拿大一店,经典火锅菜,经典火锅菜类,9040364,33429,芝士风味脆皮肠,整份,,,,4517715,蜀味脆皮肠（350G*30包/箱）,份
加拿大一店,经典火锅菜,经典火锅菜类,9040041,33041,卤肥肠,整份,,,,1501253,猪大肠 （KG）,份
加拿大一店,经典火锅菜,经典火锅菜类,9040336,33395,鱼豆腐,整份,,,,1500730,鱼豆腐（华生，2.5KG*4包/箱）,份
加拿大一店,荤菜,牛/羊肉,9010325,30395,精品牛板腱肉（偏瘦）,整份,,,,1501159,牛板腱（LB）,份
加拿大一店,荤菜,河/海鲜类,70000509,57036,鱿鱼卷(花),整份,,,,,,份
加拿大一店,荤菜,河/海鲜类,70000648,77308,澳洲青边鲍,整份,,,,4516992,澳洲青边鲍鱼（1KG/盒）,份
加拿大一店,0,0,9020263,31267,蟹籽鱼包蛋,整份,,,,4703100,,份
加拿大一店,0,0,9020263,31267,蟹籽鱼包蛋,整份,,,,1500731,,份
加拿大一店,荤菜,丸滑类,9020071,31071,香菇猪肉丸,整份,,,,1500681,去皮五花肉（LB）,份
加拿大一店,素菜,豆面制品,11010379,50485,乌冬面,整份,,,,1500721,乌冬面（六福，200G*30包/箱）,
加拿大一店,素菜,豆面制品,70002887,88260,炸腐竹,整份,,,,1501696,炸腐竹（170G*50包/箱）,
加拿大一店,素菜,豆面制品,11010119,50137,辛拉面,片,,,,4512683,方便面（辛拉面，600G*8包/箱）,
